name,price,ratedBy
Nykaa Cosmetics Matte Tattoo Lip Colour,₹809,( 5 )
Nykaa SkinShield Anti-Pollution Matte Foundation,₹479,( 6280 )
Nykaa Eyes On Me! 10-in-1 Eyeshadow Palette,₹479,( 22201 )
Nykaa Matte to Last! Transfer Proof Liquid Lipstick - Khoob-...,₹519,( 38146 )
Nykaa Nail Enamel,₹113,( 62888 )
Nykaa Strobe & Glow Liquid Highlighter,₹629,( 7401 )
Nykaa Matte Luxe Lipstick,₹660,( 5510 )
Nykaa Get Cheeky! Blush Duo Palette,₹580,( 6405 )
Nykaa Glamoreyes Colour Eye Pencil Kajal,₹374,( 11070 )
Nykaa All Day Matte Long Wear Liquid Foundation With Pump,₹449,( 3256 )
Nykaa So Creme! Creamy Matte Lipstick,₹260,( 68233 )
Nykaa Cosmetics Prep Me Up! Face Primer,₹129,( 7625 )
Nykaa Cosmetics Insta Magic Eyes Duo- Black Magic Kajal & Bl...,₹446,( 29265 )
Nykaa Cosmetics Matte Tattoo Liquid Lipstick + Black Magic K...,₹855,( 13200 )
"Nykaa All Day Matte Waterproof, Transfer Proof, Mask Proof, ...",₹338,( 15576 )
Nykaa Cosmetics Instalike - Parisian Pink + Lilac Goals,₹214,( 72 )
Nykaa Black Magic! Gel Eyeliner - Jet Black,₹539,( 5399 )
Nykaa Ultra Matte Lipstick,₹438,( 10052 )
Nykaa All Day Matte 12Hr Oil Control Face Compact Powder Wit...,₹199,( 17159 )
Nykaa Breathable Nail Enamel,₹191,( 20301 )
Nykaa Cosmetics Eyes On Me! 4 In 1 Quad Eyeshadow Palette,₹319,( 5549 )
Nykaa Cosmetics Instalike - Top Creator + Base Bff,₹214,( 60 )
Nykaa Matte To Last ! Liquid Lipstick,₹389,( 38146 )
Nykaa Matte To Last! Mini Liquid Lipstick,₹212,( 80627 )
Nykaa Prep Me Up! Mini Primer,₹129,( 7625 )
Nykaa Ultra Matte Mini Lipstick,₹212,( 21744 )
Nykaa So Matte! Mini Lipstick,₹178,( 88728 )
Masaba by Nykaa Nail Enamel,₹119,( 19209 )
Nykaa Lash Talk Volumizing Mascara,₹339,( 13065 )
Nykaa Matte Nail Enamel,₹169,( 53051 )
Nykaa Matte to Last! Mini Metallic Liquid Lipstick and Eyesh...,₹149,( 9397 )
Nykaa Mini SKINgenius Sculpting & Hydrating Dewy Foundation,₹159,( 6114 )
